t,plant,axis,metamer,organ,element,Ag,Nstruct,Tr,Ts,green_area,is_growing,mstruct,senesced_mstruct,amino_acids,cytokinins,fructan,nitrates,proteins,starch,sucrose,triosesP,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Transpiration,sum_respi,nb_replications,Amino_Acids_import,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,Nitrates_import,Regul_S_Fructan,S_Fructan,S_Starch,S_Sucrose,S_Amino_Acids,S_Proteins,cytokinins_import,Total_Organic_Nitrogen
16,1,MS,4,blade,LeafElement1,9.313215192,9.51e-06,2.116753576,18.45321748,1.07e-05,True,0.000295282,0,0.07943639197480579,0.0002731272747696862,6.219627879368088e-05,8.31627859024045e-06,0.014411467605221872,0.015235974841831335,0.5319330034142862,1.5310892752560656e-05,0.35874504919583994,0.008060572488010755,4.5476867148651835e-07,0.004926370372959519,2.2649263263199997e-05,0.01298739762964176,1,0.04036420439098787,6.219627879368088e-05,0.5808103893544757,74.30118927749447,0.04994843179592069,0.04405474317476589,0.25668607832880563,0.008142169480551588,1.065375504878062e-09,1.0158375377101005e-06,74.47346199298643,1048.905751559914,27.573615771134293,8.39681356844562,9.073135428729581e-05,0.773133573865742
20,1,MS,1,blade,LeafElement1,21.25575707,0.00054,3.02764016,22.14858208,0.000294284,False,0.018,0,7.614717908488338,0.934327953768443,1.1163153345456216,0.00034887438101146944,3.7630446311349037,0.987901246698393,75.4550372634589,0.0009884372498509312,22.518825168916372,0.3548403703035798,0.0020694632281553368,0.6059992379871676,0.00089098605684544,0.9629090715189027,1,1.2784339877176376,1.1163153345456216,1.1644976082814276,79.03209973587144,2.8029838613053295,1.4759506490320342,19.16169655699386,0.3584387638274908,5.801153866108929e-10,9.524125938750919e-07,78.85846154125973,1106.0780824818717,19.912478692681248,10.182526002613592,0.0038800835026929913,49.94919111105181
20,1,MS,1,sheath,StemElement,9.209884054,0.0003,1.884668131,19.57304088,0.000174251,False,0.01,0,3.6577938320846024,0.5163070324145497,0.7321582689571238,0.00026175570002531,2.0036065231175706,0.23774345626493879,31.353921434980062,0.00023728793077243274,5.777393422656794,0.13078365874471215,0.0002490115682894599,0.2505696434105939,0.000328405306494881,0.38160231372359554,1,0.47121332858603243,0.7321582689571238,1.12412992578472,34.23505770215119,2.7880579750385683,0.5124581351460966,4.150192804824331,0.1321156388363473,9.790247218154394e-09,1.3583432637215355e-05,34.1289700677964,499.7516906878319,13.210470580273952,9.622969150253361,0.0014301458503616813,27.0899717837736
20,1,MS,2,blade,LeafElement1,23.11968761,0.0006,3.143161465,21.89114895,0.00028853,False,0.02,0,8.335757275549593,1.0365903457502472,1.1383331714348057,0.00036676348219502185,4.2592109031934635,1.0531850006574173,83.70451584693764,0.0010536873050948634,24.01460447800788,0.3611763117233274,0.00245381411756456,0.6611048048779465,0.00090689637749645,1.0247349307188385,1,1.3012629585185413,1.1383331714348057,1.1874256612052265,75.82932004733405,2.7987939335256677,1.49083163283345,20.448450979704667,0.3648393978468807,6.547982125828674e-10,1.0740859667624215e-06,75.66616477371196,1064.5033013978448,18.241227864814515,10.126104207932066,0.003949370078174439,55.452111035885906
20,1,MS,2,sheath,StemElement,0.0,0.00036,0.0,0.0,1.26e-06,False,0.012,0,3.0627849625975685,0.611287294020786,1.1718526072414523,0.0,2.16034148914154,0.0,22.96736354189872,0.0,0.0,0.0,0.0,0.05953005838488582,0.0,0.05953005838488582,1,0.0,1.1718526072414523,1.0281848708847636,0.0,2.750792823093537,-0.14206204619225898,-1.8981488052267188,0.0,0.015,14.948499968137568,0,0,0,8.183881945372907,0.0,30.937412166024824
20,1,MS,3,blade,LeafElement1,27.29145827,0.00066,3.212410347,21.52057379,0.000229007,False,0.022,0,8.53418859471777,1.1352925612426767,1.1148500260319776,0.00033911877762009957,4.680273150166494,0.9836785937444618,88.45182861310046,0.0009838515776477625,22.499765942536406,0.2929807018523167,0.002516045669322787,0.6930154916018462,0.0007356644563354291,0.9885122391234857,1,1.0555703282999627,1.1148500260319776,1.1918683397211054,64.38623522691023,2.7866271957774797,1.162042992252001,19.060952040324146,0.2959537428164679,1.0760513750829336e-09,1.7265820370737426e-06,64.25388443337678,913.802782951903,13.451822858233092,9.851218280368862,0.003203685959633225,60.357318887741414
20,1,MS,3,sheath,StemElement,0.0,0.00042,0.0,0.0,4.06e-06,False,0.014,0,3.5499797903026744,0.7131685096909158,2.137140594150436,0.0,2.5255308044176537,0.0,26.459610745748385,0.0,0.0,0.0,0.0,0.06900804824195428,0.0,0.06900804824195428,1,0.0,2.137140594150436,1.0302174972704068,0.0,2.7507928230935326,-0.16723716391332535,-2.221070491314872,0.0,0.015,14.81261399692503,0,0,0,8.157423753470686,0.0,36.07551059472033
20,1,MS,4,blade,LeafElement1,10.42997554,1.53e-05,2.730221218,19.68980194,1.72e-05,True,0.000475612,0,0.13434743703869326,0.0005850952118182932,0.00021932754093639738,1.797574238419899e-05,0.02956511358161589,0.027066364799867477,1.1163550714027755,2.709546720929239e-05,0.6458240854368,0.018701998009476188,1.433568894649283e-06,0.010016538212105946,4.6959804949600006e-05,0.028719969790476783,1,0.0673804154878867,0.00021932754093639738,0.7379895632091293,81.9482378741688,0.06643049678769213,0.08153188478706008,0.5023593793012242,0.018891669859918588,5.939003886946952e-10,6.830365913058239e-07,81.80333507611824,1144.2094691341367,39.719155698928915,8.593977192996123,0.00020450147684660278,1.256769693477452
24,1,MS,1,blade,LeafElement1,0.0,0.00054,0.162199141,11.33106151,0.000294284,False,0.018,0,5.267932746693152,0.7534045149631602,1.0387731107586786,0.09173660290414955,4.329591409783521,0.003126196544159284,47.624367783913144,-5.2890599653250136e-06,0.0,0.0,0.0002562711163945694,0.24782741856929746,4.7732612010044e-05,0.24808368968569203,1,0.14982561816876552,1.0387731107586786,1.6436379705169515,0.25009572353274273,2.260213544889481,0.22782907264083693,2.3728807073571243,0.026678088394382096,3.054778435177402e-07,0.0003805538354408616,0,0,0,8.736803652269241,0.00031885111392094645,48.16895272790524
24,1,MS,1,sheath,StemElement,0.0,0.0003,0.156405574,11.16648841,0.000174251,False,0.01,0,2.811262195559607,0.4163398028358905,0.7034776701437532,0.05244524095192734,2.3076937537533198,0.000752333005818449,24.457751782559484,-1.2176793525269355e-06,0.0,0.0,3.989416509038541e-05,0.12880852409275498,2.7253827675073997e-05,0.12884841825784538,1,0.08554573921124933,0.7034776701437532,1.5865705714303955,0.10833595283785666,2.2482349353138082,0.09370342903319694,0.6649027515064234,0.015232353587687333,2.3804301642606022e-06,0.0028149102990324866,0,0,0,8.574693903483176,0.00018205400766625366,26.547527377884354
24,1,MS,2,blade,LeafElement1,0.0,0.0006,0.163040861,11.35497349,0.00028853,False,0.02,0,5.839030777837699,0.8357935700051371,1.0508220187467952,0.09043210187321998,4.885279178734415,0.0033327861415813433,53.236045025393594,-5.710361812240707e-06,0.0,0.0,0.0003208726639281964,0.27622970382286366,4.7042179624330005e-05,0.2765505764867919,1,0.14765845289879104,1.0508220187467952,1.6703941117648762,0.2399606021938567,2.2566426390138705,0.23830415361401358,2.6739388660683034,0.026292200938389822,2.9283693208970773e-07,0.000366246259861853,0,0,0,8.727007104212793,0.0003142390651349785,53.58145281371497
24,1,MS,2,sheath,StemElement,0.0,0.00036,0.0,0.0,1.26e-06,False,0.012,0,3.041601380204024,0.49254143266903966,1.8655581550559686,0.0,2.495292186919011,0.0,26.337459704137274,0.0,0.0,0.0,0.0,0.06483018737826687,0.0,0.06483018737826687,1,0.0,1.8655581550559686,1.4522144488082256,0.0,2.2164364470106785,-0.03800732646991016,-0.38036622098490575,0.0,0.015,16.472836111892924,0,0,0,8.155775142788585,0.0,31.25117928140875
24,1,MS,3,blade,LeafElement1,0.0,0.00066,0.163841282,11.37771275,0.000229007,False,0.022,0,6.297331392117617,0.9152076859628557,1.0209465243414133,0.07217505697313935,5.356669615467124,0.0031128347878869207,58.41478011928229,-5.52685341591955e-06,0.0,0.0,0.00036866095468125406,0.3008511834983272,3.7520800466974e-05,0.3012198444530084,1,0.11777225019591181,1.0209465243414133,1.6717308934081017,0.20374918611623483,2.2464188655451918,0.20278030165208924,2.7928860203125305,0.02097063599359022,3.420560400231365e-07,0.00042711252580194707,0,0,0,8.647444507701788,0.00025063679778476885,58.796858150441885
